"row";"column";"SD1_sampleC_S_energy_2503.5_eV.tif_D1_sampleC.TIFF_Array_53";"CdSO4-fit";"CdS-fit"
0;0;1207.25;0;0
0;1;1204.24;0;0
0;2;1508.88;0;0
0;3;3023.86;0;0
0;4;5670.5;0.160522;0.839478
0;5;7122.78;0.099498;0.900502
0;6;7121.97;0.0358693;0.964131
0;7;6198.29;0;1
0;8;6531.83;0.0728043;0.927196
0;9;6383.45;0.0746613;0.925339
0;10;6190.72;0.0332047;0.966795
0;11;6518.81;0.0264726;0.973527
0;12;6386.8;0.0515283;0.948472
0;13;6011.93;0.00523975;0.99476
0;14;5234.79;0;1
0;15;4232.62;0;1
0;16;3649.78;0;1
0;17;3529.74;0;1
0;18;4152.83;0;1
0;19;6218.18;5.55e-17;1
0;20;8519.84;0;1
0;21;9044.49;0;1
0;22;9232.59;0;1
0;23;9288.29;0;1
0;24;9728.21;0;1
0;25;11196.7;0;1
0;26;13041.9;0;1
0;27;13668.1;0.0163879;0.983612
0;28;13640.9;0;1
0;29;12608.3;0;1
0;30;10690.1;0;1
0;31;11294.1;0;1
0;32;13684.6;0;1
0;33;15539.5;0;1
0;34;16009;0.00730816;0.992692
0;35;16143.1;0.0412218;0.958778
0;36;15703.8;0;1
0;37;15631.1;0;1
0;38;15583.8;0;1
0;39;15021;0;1
0;40;14563.8;0;1
0;41;15148.1;0;1
0;42;15566.9;0.00353752;0.996462
0;43;14986.3;0.0281264;0.971874
0;44;12434.2;0.0551196;0.94488
0;45;10833.7;0;1
0;46;10954.3;0;1
0;47;11119.8;0;1
0;48;11109.6;0.0113629;0.988637
0;49;10439.1;0.0279957;0.972004
0;50;9798.33;0;1
0;51;10083.8;0;1
0;52;10816.1;0;1
0;53;11231.4;0;1
0;54;11802.3;0;1
0;55;12717.3;0.00791554;0.992084
0;56;12548.9;0;1
0;57;12690.2;0;1
0;58;13213.5;0;1
0;59;12225.8;0;1
0;60;11331.7;0;1
0;61;12102.3;0;1
0;62;13607.1;0;1
0;63;14564.5;0;1
0;64;14382.5;0;1
0;65;14302;0;1
0;66;14607.2;0;1
0;67;16128.9;0;1
0;68;17555.9;0;1
0;69;17532.6;0;1
0;70;17026.6;0;1
0;71;16830.5;5.55e-17;1
0;72;16461.9;0.0020575;0.997943
0;73;14918.7;0;1
0;74;12775;0;1
0;75;13161.4;0;1
0;76;14167.9;0;1
0;77;14277.1;0;1
0;78;14888.1;0;1
0;79;14865;0;1
0;80;14414.7;0;1
0;81;14196.4;0;1
0;82;13591.4;0;1
0;83;12399.8;0;1
0;84;11103.5;0;1
0;85;9993.32;0;1
0;86;10008;0;1
0;87;11357.7;0;1
0;88;11362.4;0.00924469;0.990755
0;89;10282;0.00662858;0.993371
0;90;9223.95;0;1
0;91;9508.02;0;1
0;92;11239;0;1
0;93;12674.4;0;1
0;94;10819.8;0;1
0;95;7877.41;0;1
0;96;6867.44;0;1
0;97;6666.3;0;1
0;98;7370.21;0;1
0;99;8405.42;0;1
0;100;9806.84;0;1
0;101;11069.8;0;1
0;102;11847.5;0;1
0;103;11990;0;1
0;104;10685.4;0;1
0;105;8764.22;0;1
0;106;9284.83;0.00134095;0.998659
0;107;9680.78;0.000217904;0.999782
0;108;10901.4;0.000627723;0.999372
0;109;11730.8;0.00225097;0.997749
0;110;11749.6;0;1
0;111;10948.8;0;1
0;112;10183.5;0;1
0;113;9731.7;0;1
0;114;9968.53;0;1
0;115;10650.3;0;1
0;116;12620.1;0;1
0;117;13863.4;0;1
0;118;14786.2;0;1
0;119;15016.9;0.00704698;0.992953
0;120;15585.7;0.00999126;0.990009
0;121;16869;0.0280205;0.97198
0;122;17718.5;0.0384353;0.961565
0;123;17568.2;0;1
0;124;16475.5;0;1
0;125;14291.9;0.0481406;0.951859
0;126;13057.8;0;1
0;127;12926.9;0;1
0;128;13368.8;0;1
0;129;14368.6;0;1
0;130;15118.2;0;1
0;131;16183.3;0;1
0;132;16034.5;0;1
0;133;15062.8;0.00146355;0.998536
0;134;14607.8;0;1
0;135;14993.9;0.0216148;0.978385
0;136;15326;0.0276358;0.972364
0;137;15203.5;0.0177779;0.982222
0;138;14085.5;0;1
0;139;10859.5;0;1
0;140;8736.93;0;1
0;141;9812.19;0;1
0;142;12414.2;0;1
0;143;13879.2;0;1
0;144;14651.7;0;1
0;145;14650.9;0;1
0;146;13431.3;5.55e-17;1
0;147;11676.3;0;1
0;148;10459.2;0;1
0;149;11257.2;0.0316441;0.968356
0;150;11255.4;0;1
0;151;11805.6;0;1
0;152;13253.4;0;1
0;153;14034;0;1
0;154;12665.3;0;1
0;155;11276.4;0;1
1;0;1546.75;0;0
1;1;1543.51;0;0
1;2;2112.04;0;0
1;3;5147.69;0.16909;0.83091
1;4;8682.17;0.11046;0.88954
1;5;9072.83;0.0633053;0.936695
1;6;8937.88;0.0377705;0.96223
1;7;8236.43;0.0159807;0.984019
1;8;7472.2;0;1
1;9;7493.39;0;1
1;10;7410.17;0.00943755;0.990562
1;11;7140.81;0;1
1;12;6499.2;0;1
1;13;6284.17;0;1
1;14;5915.79;0;1
1;15;4797.5;5.55e-17;1
1;16;3998.46;0;1
1;17;4297.4;0;1
1;18;6046.21;5.55e-17;1
1;19;8251.98;0;1
1;20;9746.59;0;1
1;21;11141.4;0;1
1;22;11341.6;0.00695323;0.993047
1;23;11048.9;0;1
1;24;10310.6;0;1
1;25;10926.1;0.040011;0.959989
1;26;11478.2;0;1
1;27;9094.4;0.0294482;0.970552
1;28;7751.72;0.014348;0.985652
1;29;7308.47;0;1
1;30;8535.47;0;1
1;31;10779.7;0;1
1;32;11236.2;0;1
1;33;11675.3;0;1
1;34;13224.2;0;1
1;35;14419.7;0;1
1;36;14786;0.00441354;0.995586
1;37;15312.9;0.00268848;0.997312
1;38;15317.7;0;1
1;39;15795.2;0;1
1;40;16235.8;0;1
1;41;16908.2;0.0348889;0.965111
1;42;16388.9;0;1
1;43;14874.6;0;1
1;44;12512.8;0;1
1;45;10744.7;0;1
1;46;8664.89;0.0450521;0.954948
1;47;8423.09;0.00961827;0.990382
1;48;7704.75;0;1
1;49;7709.27;0;1
1;50;9536.07;0;1
1;51;12812.3;0;1
1;52;13934.7;0.0130759;0.986924
1;53;14013.1;0.0154371;0.984563
1;54;14193.5;0.0326084;0.967392
1;55;13634;0.0031953;0.996805
1;56;13313.9;5.55e-17;1
1;57;12623.7;0;1
1;58;12482.2;0;1
1;59;13703;0.0037524;0.996248
1;60;13582.1;0;1
1;61;11894.6;0;1
1;62;10798;0;1
1;63;11625.5;0;1
1;64;13490.5;0;1
1;65;14343.2;0;1
1;66;14788.5;0.000931459;0.999069
1;67;14920.7;0;1
1;68;15851.1;0.0174417;0.982558
1;69;16221.2;0.0134218;0.986578
1;70;15922.1;0;1
1;71;15553.3;0;1
1;72;15557.8;0.0152959;0.984704
1;73;15248.7;0;1
1;74;16244.1;0;1
1;75;17264.3;0.0166398;0.98336
1;76;17189.2;0.0441053;0.955895
1;77;16634.3;0.0368213;0.963179
1;78;15411.2;0.0232751;0.976725
1;79;14155.1;0;1
1;80;14315.3;0;1
1;81;15569.3;0.0267607;0.973239
1;82;16289.3;0.00989557;0.990104
1;83;16176.7;0;1
1;84;16169.9;0;1
1;85;16254;0;1
1;86;15047.9;0;1
1;87;12987.4;0;1
1;88;10900.1;5.55e-17;1
1;89;9715.61;0;1
1;90;8813.06;5.55e-17;1
1;91;9057.3;0;1
1;92;11336.2;0;1
1;93;14429.2;0;1
1;94;16425.3;5.55e-17;1
1;95;16534.6;0;1
1;96;15287.3;0;1
1;97;13803.2;0.0140997;0.9859
1;98;12858.3;0;1
1;99;12542.6;0;1
1;100;12786.6;0;1
1;101;11696;0;1
1;102;10955.9;0;1
1;103;10385.8;0;1
1;104;9822.71;0;1
1;105;9395.56;0;1
1;106;9478.47;0;1
1;107;9577.3;0;1
1;108;9149.62;0;1
1;109;8284.01;0.0362107;0.963789
1;110;7552.76;0.0165818;0.983418
1;111;7598.76;0;1
1;112;7078.44;0;1
1;113;7189.11;5.55e-17;1
1;114;8159.72;0;1
