row;column;CdSO4-fit;hex-CdS_fit
0;0;0;0
0;1;0;0
0;2;0;0
0;3;0;0
0;4;0;0
0;5;0;0
0;6;0;0
0;7;0;0
0;8;0;0
0;9;0;0
0;10;0;0
0;11;0;0
0;12;0;0
0;13;0;0
0;14;0;0
0;15;0;0
0;16;0;0
0;17;0;0
0;18;0.150578;0.849422
0;19;0.0458967;0.954103
0;20;0.00902836;0.990972
0;21;0;1
0;22;0;1
0;23;0.00602484;0.993975
0;24;0.0532896;0.94671
0;25;0;1
0;26;0;1
0;27;0;1
0;28;0.0414184;0.958582
0;29;0.0522858;0.947714
0;30;0.093418;0.906582
0;31;0;1
0;32;0;1
0;33;0;1
0;34;0.0121474;0.987853
0;35;0;1
0;36;0.0255132;0.974487
0;37;0.0512472;0.948753
0;38;0.0464289;0.953571
0;39;0.0388206;0.961179
0;40;0.0159921;0.984008
0;41;0.00762147;0.992379
0;42;0.0106661;0.989334
0;43;0;1
0;44;0;1
0;45;0;1
0;46;0;1
0;47;0;1
0;48;0;1
0;49;0;1
0;50;0;1
0;51;0;1
0;52;0;1
0;53;0;1
0;54;0;1
0;55;0.00333924;0.996661
0;56;0.00767074;0.992329
0;57;0;1
0;58;0;1
0;59;0.0126384;0.987362
0;60;0.0192293;0.980771
0;61;0.0219197;0.97808
0;62;0;1
0;63;0;1
0;64;0;1
0;65;0;1
0;66;0.000405538;0.999594
0;67;0.0205481;0.979452
0;68;0.0129549;0.987045
0;69;0;1
0;70;0;1
0;71;0.0230998;0.9769
0;72;0.00837958;0.99162
0;73;0;1
0;74;0;1
0;75;0;1
0;76;0;1
0;77;0;1
0;78;0;1
0;79;0;1
0;80;0;1
0;81;0;1
0;82;0.00285781;0.997142
0;83;0;1
0;84;0;1
0;85;0;1
0;86;0;1
0;87;0;1
0;88;0;1
0;89;0.047067;0.952933
0;90;0.0336551;0.966345
0;91;0.0204089;0.979591
0;92;0.0251315;0.974868
0;93;0.0377026;0.962297
0;94;0.0514917;0.948508
0;95;0.0297086;0.970291
0;96;0;1
0;97;0;1
0;98;0;1
0;99;0;1
0;100;0;1
0;101;0;1
0;102;0;1
0;103;0;1
0;104;0.0210134;0.978987
0;105;0;1
0;106;0;1
0;107;0;1
0;108;0;1
0;109;0;1
0;110;0;1
0;111;0;1
0;112;0;1
0;113;5.55e-17;1
0;114;0.00657133;0.993429
0;115;0.0235383;0.976462
0;116;0.0339622;0.966038
0;117;0;1
0;118;0;1
0;119;0.0307056;0.969294
0;120;0;1
0;121;0;1
0;122;0;1
0;123;0;1
0;124;0.0329789;0.967021
0;125;0;1
0;126;0;1
0;127;0;1
0;128;0;1
0;129;0;1
0;130;0;1
0;131;0.0416781;0.958322
0;132;0.029337;0.970663
0;133;0;1
0;134;0;1
0;135;0;1
0;136;0;1
0;137;0;1
0;138;0;1
0;139;0.0543503;0.94565
0;140;0.0458383;0.954162
0;141;0.0432569;0.956743
0;142;0.0325361;0.967464
0;143;0.0170187;0.982981
0;144;0;1
0;145;0.0233038;0.976696
0;146;0;1
0;147;0;1
0;148;0;1
0;149;0;1
0;150;0;1
0;151;0.0282644;0.971736
0;152;0.0444033;0.955597
0;153;0.0116861;0.988314
0;154;0;1
0;155;0.0102913;0.989709
0;156;0.0282461;0.971754
0;157;0;1
0;158;0;1
0;159;0;1
0;160;0;1
0;161;0.011431;0.988569
0;162;5.55e-17;1
0;163;0;1
0;164;0;1
0;165;0;1
0;166;0;1
0;167;0;1
0;168;0;1
0;169;0.0209405;0.979059
0;170;0;1
0;171;0;1
0;172;0;1
0;173;0;1
0;174;0;1
0;175;0;1
0;176;0;1
0;177;0.0392436;0.960756
0;178;0;1
0;179;0;1
0;180;0;1
0;181;0;1
0;182;0;1
0;183;0.0592221;0.940778
0;184;0;1
0;185;5.55e-17;1
0;186;0;1
1;0;0;0
1;1;0;0
1;2;0;0
1;3;0;0
1;4;0;0
1;5;0;0
1;6;0;0
1;7;0;0
1;8;0;0
1;9;0;0
1;10;0;0
1;11;0;0
1;12;0;0
1;13;0;0
1;14;0;0
1;15;0;0
1;16;0;0
1;17;0;0
1;18;0;1
1;19;0.0552721;0.944728
1;20;0.038568;0.961432
1;21;0.0194785;0.980522
1;22;0.00211605;0.997884
1;23;0;1
1;24;0;1
1;25;0;1
1;26;0;1
1;27;0;1
1;28;0;1
1;29;0;1
1;30;5.55e-17;1
1;31;0;1
1;32;0;1
1;33;0;1
1;34;0;1
1;35;0;1
1;36;0;1
1;37;0;1
1;38;0;1
1;39;0;1
1;40;0;1
1;41;0;1
1;42;0;1
1;43;0;1
1;44;0.00865361;0.991346
1;45;0.0328132;0.967187
1;46;0.0231662;0.976834
1;47;0;1
1;48;0;1
1;49;0;1
1;50;5.55e-17;1
1;51;5.55e-17;1
1;52;0;1
1;53;0;1
1;54;0;1
1;55;0;1
1;56;0;1
1;57;0;1
1;58;0;1
1;59;0;1
1;60;0;1
1;61;0;1
1;62;0;1
1;63;0;1
1;64;0;1
1;65;0.00884887;0.991151
1;66;0;1
1;67;0;1
1;68;5.55e-17;1
1;69;0;1
1;70;0;1
1;71;0;1
1;72;0;1
1;73;0;1
1;74;0;1
1;75;0;1
1;76;0;1
1;77;0;1
1;78;0;1
1;79;0.0256878;0.974312
1;80;0;1
1;81;0.0543679;0.945632
1;82;0.0264102;0.97359
1;83;0.0209831;0.979017
1;84;0.0402502;0.95975
1;85;0.0444494;0.955551
1;86;0.0261067;0.973893
1;87;0.00934487;0.990655
1;88;0;1
1;89;0;1
1;90;0;1
1;91;0;1
1;92;0;1
1;93;0;1
1;94;0;1
1;95;0;1
1;96;0;1
1;97;0;1
1;98;0.00119115;0.998809
1;99;0.016211;0.983789
1;100;0;1
1;101;0;1
1;102;0;1
1;103;0;1
1;104;0;1
1;105;0;1
1;106;0;1
1;107;0;1
1;108;5.55e-17;1
1;109;0;1
1;110;0;1
1;111;0;1
1;112;0;1
1;113;0;1
1;114;0.0240379;0.975962
1;115;0.0536253;0.946375
1;116;0.0391891;0.960811
1;117;0.0145431;0.985457
1;118;0.00821472;0.991785
1;119;0.0236995;0.9763
1;120;0;1
1;121;0;1
1;122;0;1
1;123;0;1
1;124;0;1
1;125;0;1
1;126;0;1
1;127;5.55e-17;1
1;128;0;1
1;129;0;1
1;130;0;1
1;131;0;1
1;132;0;1
1;133;0;1
1;134;0;1
1;135;0;1
1;136;0;1
1;137;0;1
1;138;0;1
1;139;0;1
1;140;0;1
1;141;0;1
1;142;0;1
1;143;0;1
1;144;0;1
1;145;0;1
1;146;0;1
1;147;0.0481784;0.951822
1;148;0.0302946;0.969705
1;149;0;1
1;150;0;1
1;151;5.55e-17;1
1;152;0;1
1;153;0;1
1;154;0;1
1;155;5.55e-17;1
1;156;0;1
1;157;0;1
1;158;0;1
1;159;0.00577373;0.994226
1;160;0.0203878;0.979612
1;161;0;1
1;162;0;1
1;163;0;1
1;164;0;1
1;165;0;1
1;166;0;1
1;167;0.0161471;0.983853
1;168;0.0486321;0.951368
1;169;0;1
1;170;0;1
1;171;0.0049921;0.995008
1;172;0.0155649;0.984435
1;173;0.0187176;0.981282
1;174;0;1
1;175;0;1
1;176;0;1
1;177;0;1
1;178;0;1
1;179;0;1
1;180;0;1
1;181;0;1
1;182;0;1
1;183;0;1
1;184;0;1
1;185;0;1
1;186;0;1
2;0;0;0
2;1;0;0
2;2;0;0
2;3;0;0
2;4;0;0
2;5;0;0
2;6;0;0
2;7;0;0
2;8;0;0
2;9;0;0
2;10;0;0
2;11;0;0
2;12;0;0
2;13;0;0
2;14;0;0
2;15;0;0
2;16;0;0
2;17;0;0
